code,term
10754781000119108,Gallbladder calculus in mother complicating childbirth
1084931000119109,Chronic cholecystitis due to cholelithiasis co-occurrent with choledocholithiasis
1095981000000104,Biliary microlithiasis
1123004,Cholelithiasis AND acute cholecystitis with obstruction
12932003,Calculus of common bile duct with chronic cholecystitis with obstruction
1356007,Calculus of common duct with obstruction
15082003,Calculus of bile duct with chronic cholecystitis with obstruction
155823008,Gall stones (& [calculus - gall bladder])
19335008,Calculus of cystic duct with acute cholecystitis
197376000,Cholelithiasis (& calculus: [bile duct] or [cystic duct] or [gallbladder])
197377009,Gallbladder calculus with acute cholecystitis and no obstruction
197378004,Gallbladder calculus with acute cholecystitis and obstruction
197389006,Bile duct calculus with acute cholecystitis
197391003,Bile duct calculus with acute cholecystitis and obstruction
197402000,Calculus of bile duct with cholangitis
197403005,Cholelithiasis NOS
197404004,Cholelithiasis without obstruction NOS
197405003,Cholelithiasis with obstruction NOS
197406002,Cholelithiasis NOS
197561007,[X]Other cholelithiasis
235919008,Gallbladder calculus
235923000,Retained bile duct stone
25924004,Calculus of gallbladder with cholecystitis
266474003,Calculus in biliary tract
266541001,Gall stones (& [calculus - gall bladder])
27697003,Calculus of hepatic duct without obstruction
29484002,Cholelithiasis AND cholecystitis without obstruction
30093007,Calculus of bile duct
307132003,Common bile duct calculus
312110005,Gallbladder and bile duct calculi
314949006,Perforated calculous chronic cholecystitis
36483003,Calculus of bile duct with cholecystitis
38871000119104,Acute and chronic cholecystitis co-occurrent and due to calculus of gallbladder and bile duct
40331000119107,Acute cholecystitis due to biliary calculus
407637009,History of gallstones
413197000,Calculus of cystic stump
462071000000103,[X]Other cholelithiasis
4661003,Calculus of bile duct with obstruction
49341008,Calculus of cystic duct with cholecystitis
50450007,Cholelithiasis AND cholecystitis with obstruction
55479002,Impacted gallstone of gallbladder
59049008,Calculus of hepatic duct
59771005,Calculus of gallbladder with acute cholecystitis
60127009,Calculus of bile duct with acute cholecystitis without obstruction
6087002,Calculus of hepatic duct with obstruction
624031000000101,Cholelithiasis with obstruction NOS
62809003,Calculus of cystic duct with obstruction
641801000000103,Cholelithiasis NOS
644441000000100,Cholelithiasis without obstruction NOS
65082000,Calculus of cystic duct
68368005,Calculus of common bile duct with chronic cholecystitis
68394001,Calculus of bile duct without obstruction
68601009,Calculus of cystic duct without obstruction
699050007,Calculus of gallbladder with acute and chronic cholecystitis
70342003,Cholelithiasis without obstruction
711564007,Cholecystolithiasis with obstruction
71209005,Cholelithiasis AND acute cholecystitis without obstruction
715577009,Low phospholipid associated cholelithiasis
71745007,Calculus of bile duct with chronic cholecystitis without obstruction
718309005,Calculus of common bile duct without obstruction
72053008,Calculus of common bile duct with acute cholecystitis without obstruction
722869007,Calculus of gallbladder without cholecystitis or cholangitis
7290007,Impacted gallstone of cystic duct
735467004,Cholangitis co-occurrent and due to calculus of gallbladder
735734002,Calculus of bile duct without inflammation of biliary tract
74091007,Calculus of common bile duct with chronic cholecystitis without obstruction
77528005,Cholelithiasis with obstruction
81115009,Calculus of common bile duct with acute cholecystitis with obstruction
830074003,Cholesterol calculus of gallbladder
830075002,Pigment calculus of gallbladder
89251007,Calculus of common bile duct with acute cholecystitis
91316003,Calculus of bile duct with chronic cholecystitis
95559000,Chronic cholecystitis with calculus
