code,term
103429008,"Enterohemorrhagic Escherichia coli, serotype O157:H7"
10628871000119101,Gastroenteritis caused by influenza
10628911000119103,Gastroenteritis caused by Influenza A virus
1087691000000104,Suspected infectious haemorrhagic diarrhoea
11003002,Nervous diarrhea
111843007,Viral gastroenteritis
111911008,Chronic intestinal amebiasis without abscess
111912001,Acute amebic dysentery without abscess
115645007,"Bovine diarrhea virus, type 1"
115646008,"Bovine diarrhea virus, type 2"
115647004,"Bovine diarrhea virus, noncytopathic strain"
116394005,Enterotoxigenic Escherichia coli
116395006,Enterohemorrhagic Escherichia coli
116396007,Enteroinvasive Escherichia coli
116397003,Enteroaggregative Escherichia coli
116398008,"Escherichia coli, diarrheagenic strain"
11718971000119100,Diarrhea in pregnancy
11840006,Traveler's diarrhea
1240571000000101,Gastroenteritis caused by severe acute respiratory syndrome coronavirus 2
124994003,"Enterohemorrhagic Escherichia coli, serotype O157:non-motile"
128333008,Diarrheal disorder
142961000119108,Gastroenteritis caused by H1N1 influenza
14384003,Postprandial diarrhea
15362005,Hyperalimentation formula for severe diarrhea
15699003,Secretory diarrhea
162106006,Spurious diarrhea - overflow
163891001,On examination - defecation reflex - spurious diarrhea
17551007,Chronic diarrhea of unknown origin
18168004,Raw-milk associated diarrhea
18425006,Passage of rice water stools
186116005,Acute amebic dysentery
19213003,Infectious diarrheal disease
197125005,Irritable bowel syndrome with diarrhea
197132001,Diarrhea after gastrointestinal tract surgery
235839006,Irritable bowel syndrome variant of childhood with diarrhea
236063005,Adenoviral gastroenteritis
236066002,Prototheca diarrhea
236071009,Chronic diarrhea
236075000,Diarrhea caused by ingestion of unabsorbable substances
236077008,Protracted diarrhea
236078003,Post-vagotomy diarrhea
23874000,Chronic amebiasis
24789006,Viral gastroenteritis caused by Norwalk-like agent
249517009,Constipation alternates with diarrhea
249519007,Diarrhea and vomiting
25018007,Bovine mucosal disease virus
25319005,Chronic diarrhea of infants AND/OR young children
267060006,Diarrhea symptom
268651002,Psychogenic diarrhea
274081004,Bacillary dysentery
275297005,"Diarrhea and vomiting, symptom"
283876006,Astrovirus gastroenteritis
283877002,Calicivirus gastroenteritis
288199005,Diarrhea and vomiting after gastrointestinal tract surgery
2919008,"Nausea, vomiting and diarrhea"
2946003,Osmotic diarrhea
301469002,Antibiotic-associated diarrhea
303349001,Escherichia coli enteroadherent
308119005,Infantile viral gastroenteritis
312109000,Bacterial dysentery
31499008,Chronic constipation with overflow
36188001,Shigellosis
373421000,Diarrhea-associated hemolytic uremic syndrome
